Turn,Player,Value
481,1, g:3933 i:4685 tg:4289 h:276 c:85 cc:2188 m:160024 sc:6100 s:3348 l:307 p:6531 f:1114 po:110008000 nc:25 w:5 t:121 fa:0 fr:50 tru:0 gw:0 in:1 to:556
481,2, g:2424 i:2829 tg:2826 h:193 c:72 cc:1076 m:15576 sc:3187 s:2150 l:172 p:3366 f:593 po:69913000 nc:13 w:3 t:120 fa:0 fr:31 tru:0 gw:0 in:4 to:232
481,3, g:12 i:12 tg:412 h:17 c:22 cc:8 m:0 sc:8 s:414 l:12 p:12 f:11 po:90000 nc:1 w:0 t:71 fa:0 fr:0 tru:0 gw:0 in:0 to:0
481,4, g:510 i:576 tg:477 h:67 c:87 cc:343 m:0 sc:984 s:1269 l:45 p:645 f:137 po:36507000 nc:3 w:2 t:121 fa:0 fr:22 tru:0 gw:0 in:0 to:50
481,5, g:1704 i:2191 tg:2355 h:144 c:62 cc:1291 m:108984 sc:3392 s:2235 l:193 p:3547 f:662 po:53784000 nc:15 w:5 t:121 fa:0 fr:30 tru:0 gw:0 in:0 to:172
481,6, g:7769 i:8742 tg:8224 h:543 c:88 cc:4106 m:540130 sc:13914 s:6352 l:511 p:11843 f:2215 po:607875000 nc:38 w:9 t:121 fa:0 fr:87 tru:0 gw:0 in:3 to:1281
481,7, g:41 i:51 tg:266 h:22 c:47 cc:34 m:0 sc:68 s:545 l:5 p:36 f:11 po:90000 nc:1 w:0 t:79 fa:0 fr:2 tru:0 gw:0 in:0 to:0
481,8, g:10666 i:11759 tg:14332 h:850 c:81 cc:4194 m:479730 sc:15002 s:6557 l:521 p:12572 f:2052 po:382477000 nc:39 w:39 t:121 fa:0 fr:870 tru:0 gw:1 in:1 to:843
481,9, g:1214 i:1458 tg:1618 h:65 c:70 cc:524 m:13865 sc:1913 s:1525 l:104 p:1790 f:372 po:41307000 nc:8 w:0 t:121 fa:0 fr:44 tru:0 gw:0 in:0 to:86
481,10, g:6286 i:7466 tg:6775 h:590 c:90 cc:3706 m:166137 sc:10765 s:4963 l:459 p:9731 f:1564 po:206981000 nc:37 w:11 t:121 fa:0 fr:118 tru:0 gw:0 in:8 to:571
481,11, g:7791 i:8874 tg:11049 h:685 c:107 cc:4425 m:423150 sc:14040 s:5911 l:495 p:12262 f:1855 po:267911000 nc:42 w:19 t:121 fa:0 fr:98 tru:0 gw:0 in:5 to:1144
481,12, g:961 i:1122 tg:1244 h:108 c:63 cc:474 m:13950 sc:1654 s:1444 l:109 p:1440 f:456 po:60245000 nc:6 w:0 t:121 fa:0 fr:10 tru:3 gw:0 in:0 to:48
481,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
482,1, g:3423 i:4186 tg:10223 h:283 c:85 cc:2272 m:176536 sc:6061 s:3429 l:311 p:6585 f:1038 po:114558000 nc:25 w:5 t:121 fa:0 fr:50 tru:1 gw:0 in:3 to:564
482,2, g:2081 i:2492 tg:5287 h:191 c:72 cc:1095 m:59583 sc:3418 s:2176 l:179 p:3258 f:523 po:72754000 nc:13 w:3 t:120 fa:0 fr:31 tru:0 gw:0 in:5 to:222
482,3, g:12 i:12 tg:424 h:17 c:22 cc:15 m:0 sc:8 s:418 l:13 p:9 f:11 po:90000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
482,4, g:501 i:568 tg:809 h:62 c:87 cc:352 m:7213 sc:994 s:1279 l:47 p:651 f:133 po:37795000 nc:3 w:2 t:121 fa:0 fr:22 tru:0 gw:0 in:0 to:50
482,5, g:1566 i:2060 tg:3926 h:165 c:62 cc:1350 m:109826 sc:3149 s:2272 l:197 p:3530 f:663 po:53775000 nc:15 w:5 t:121 fa:0 fr:30 tru:0 gw:0 in:0 to:176
482,6, g:6568 i:7546 tg:21575 h:556 c:88 cc:4154 m:573642 sc:12919 s:6402 l:523 p:11905 f:2204 po:601387000 nc:38 w:9 t:121 fa:0 fr:87 tru:0 gw:0 in:5 to:1281
482,7, g:41 i:51 tg:79 h:22 c:47 cc:48 m:482 sc:63 s:545 l:5 p:33 f:11 po:90000 nc:1 w:0 t:79 fa:0 fr:2 tru:0 gw:0 in:0 to:0
482,8, g:9062 i:10168 tg:31351 h:851 c:81 cc:4174 m:447772 sc:13905 s:6527 l:543 p:12363 f:1927 po:364139000 nc:39 w:39 t:121 fa:0 fr:885 tru:0 gw:1 in:3 to:843
482,9, g:931 i:1180 tg:2257 h:62 c:70 cc:528 m:43025 sc:2164 s:1530 l:110 p:1453 f:214 po:38153000 nc:8 w:0 t:121 fa:0 fr:44 tru:0 gw:0 in:2 to:88
482,10, g:5278 i:6481 tg:13968 h:595 c:90 cc:3855 m:248382 sc:10355 s:5017 l:470 p:9647 f:1470 po:210246000 nc:37 w:11 t:121 fa:0 fr:118 tru:0 gw:0 in:9 to:570
482,11, g:7158 i:8259 tg:21651 h:701 c:107 cc:4539 m:496044 sc:13255 s:5987 l:500 p:12387 f:1853 po:269249000 nc:42 w:19 t:121 fa:0 fr:101 tru:0 gw:0 in:7 to:1178
482,12, g:806 i:971 tg:1202 h:107 c:63 cc:489 m:25293 sc:1601 s:1467 l:111 p:1427 f:421 po:64133000 nc:6 w:0 t:121 fa:0 fr:10 tru:3 gw:0 in:0 to:50
482,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
483,1, g:3250 i:3983 tg:16908 h:247 c:85 cc:2144 m:213130 sc:6000 s:3421 l:287 p:6513 f:1015 po:120108000 nc:23 w:5 t:121 fa:0 fr:46 tru:1 gw:1 in:2 to:534
483,2, g:1745 i:2157 tg:10745 h:187 c:72 cc:1094 m:106472 sc:3760 s:2198 l:185 p:3066 f:397 po:75345000 nc:13 w:3 t:120 fa:0 fr:31 tru:0 gw:0 in:5 to:172
483,3, g:10 i:10 tg:439 h:16 c:22 cc:15 m:0 sc:8 s:418 l:13 p:9 f:11 po:90000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
483,4, g:404 i:472 tg:1893 h:55 c:87 cc:348 m:12361 sc:1085 s:1280 l:49 p:510 f:69 po:36052000 nc:3 w:2 t:121 fa:0 fr:10 tru:0 gw:0 in:1 to:50
483,5, g:1411 i:1915 tg:5767 h:168 c:62 cc:1348 m:151185 sc:3503 s:2300 l:201 p:3341 f:537 po:53490000 nc:15 w:5 t:121 fa:0 fr:30 tru:0 gw:0 in:0 to:176
483,6, g:6609 i:7598 tg:39841 h:571 c:88 cc:4184 m:625896 sc:13213 s:6492 l:535 p:11860 f:2163 po:599177000 nc:39 w:9 t:121 fa:0 fr:89 tru:0 gw:0 in:4 to:1281
483,7, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
483,8, g:8948 i:10034 tg:52268 h:835 c:81 cc:4087 m:511662 sc:13334 s:6420 l:545 p:12174 f:1925 po:347058000 nc:38 w:39 t:121 fa:0 fr:848 tru:0 gw:1 in:2 to:839
483,9, g:948 i:1198 tg:4722 h:47 c:70 cc:534 m:44321 sc:2151 s:1540 l:115 p:1450 f:228 po:35820000 nc:8 w:0 t:121 fa:0 fr:44 tru:0 gw:0 in:1 to:88
483,10, g:4836 i:6047 tg:28172 h:594 c:90 cc:3685 m:287886 sc:10318 s:5067 l:504 p:9434 f:1342 po:214027000 nc:38 w:10 t:121 fa:0 fr:114 tru:0 gw:0 in:8 to:555
483,11, g:7184 i:8340 tg:39522 h:748 c:107 cc:4492 m:507100 sc:13929 s:6279 l:535 p:12648 f:1839 po:280874000 nc:45 w:20 t:121 fa:0 fr:101 tru:0 gw:0 in:6 to:1144
483,12, g:465 i:608 tg:2688 h:90 c:63 cc:322 m:33319 sc:1378 s:1367 l:93 p:823 f:168 po:38163000 nc:5 w:0 t:121 fa:0 fr:8 tru:3 gw:0 in:0 to:40
483,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
484,1, g:2990 i:3702 tg:24244 h:280 c:85 cc:2066 m:213974 sc:6247 s:3447 l:263 p:6300 f:914 po:126072000 nc:22 w:5 t:121 fa:0 fr:44 tru:6 gw:1 in:2 to:475
484,2, g:1631 i:2045 tg:15659 h:187 c:72 cc:1084 m:130388 sc:3862 s:2198 l:190 p:2911 f:332 po:74825000 nc:13 w:3 t:120 fa:0 fr:31 tru:0 gw:0 in:5 to:188
484,3, g:6 i:7 tg:11 h:17 c:22 cc:26 m:457 sc:11 s:418 l:14 p:9 f:4 po:90000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
484,4, g:402 i:470 tg:2231 h:50 c:87 cc:337 m:14464 sc:1075 s:1267 l:33 p:500 f:65 po:34405000 nc:2 w:2 t:121 fa:0 fr:10 tru:0 gw:0 in:1 to:50
484,5, g:1370 i:1876 tg:9417 h:181 c:62 cc:1371 m:165691 sc:3635 s:2319 l:205 p:3271 f:487 po:52540000 nc:15 w:5 t:121 fa:0 fr:30 tru:1 gw:0 in:1 to:159
